fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
-0.0813838294952,0.117931155602,-0.270975609756,-0.0437538016055,-0.0191428073264,-0.0686608707907,-0.0440558034284,0.0773363308015,0.156603782876,-0.0587717622916,-0.157382017607,5
-0.0459855994067,0.241218826835,-0.270975609756,0.004191403874,0.0175850724733,0.128522227801,0.0725519704232,0.00391489174131,-0.0874907053129,0.0130845251336,-0.0958435560687,5
-0.0459855994067,0.159027046013,-0.230975609756,-0.0163565413315,0.00756837798248,-0.0123228426217,0.0266155746635,0.0185991795534,-0.0402466108247,-0.00487954672269,-0.0958435560687,5
0.254899356346,-0.169740077274,0.289024390244,-0.0437538016055,-0.0208122564082,0.0158461714628,0.0478169880911,0.0920206186136,-0.118986768305,-0.0467957143874,-0.0958435560687,6
-0.0813838294952,0.117931155602,-0.270975609756,-0.0437538016055,-0.0191428073264,-0.0686608707907,-0.0440558034284,0.0773363308015,0.156603782876,-0.0587717622916,-0.157382017607,5
-0.0813838294952,0.0905338953284,-0.270975609756,-0.0506031166739,-0.0208122564082,-0.0404918567062,-0.0228543900008,0.0773363308015,0.156603782876,-0.0587717622916,-0.157382017607,5
-0.0371360418846,0.0494380049175,-0.210975609756,-0.0643017468109,-0.030828950899,-0.0123228426217,0.0442834191865,-0.0254536838828,-0.00875054783255,-0.118652001813,-0.157382017607,5
-0.0902333870173,0.0836845802599,-0.270975609756,-0.0916990070849,-0.0375067472262,-0.0123228426217,-0.0899921991881,-0.157612274191,0.0621155938997,-0.11266397786,-0.0650743252995,7
-0.0459855994067,0.0357393747805,-0.250975609756,-0.036904486537,-0.0241511545718,-0.0968298848752,-0.100592905902,0.00391489174131,0.0384935466556,-0.0527837383395,-0.141997402223,7
-0.0725342719731,-0.0190551457675,0.0890243902439,0.243917431271,-0.0274900527354,0.0158461714628,0.196226882084,0.0773363308015,0.0306195309076,0.0849408125587,0.0118487516236,5
-0.14333073215,0.0357393747805,-0.190975609756,-0.0506031166739,0.0159156233915,-0.0123228426217,0.065484832614,-0.0621644034129,-0.0244985793286,-0.0707478101957,-0.188151248376,5
-0.0725342719731,-0.0190551457675,0.0890243902439,0.243917431271,-0.0274900527354,0.0158461714628,0.196226882084,0.0773363308015,0.0306195309076,0.0849408125587,0.0118487516236,5
-0.240675864893,0.0597119775202,-0.270975609756,-0.0643017468109,0.00256003073707,0.00176166442054,0.0442834191865,-0.179638705909,0.211721893112,-0.0827238580999,-0.0804589406841,5
-0.0459855994067,0.0562873199859,0.0190243902439,-0.0643017468109,0.0442962577821,-0.0968298848752,-0.0617236479513,0.0479677551774,-0.0402466108247,0.540030632918,-0.203535863761,5
0.0513595333367,0.0631366350544,-0.0909756097561,0.0863831846959,0.147802100854,0.508803917942,0.348170344982,0.13607348205,-0.118986768305,0.132845004176,-0.188151248376,5
0.0513595333367,0.0631366350544,-0.0809756097561,0.0932324997644,0.137785406363,0.494719410899,0.358771051695,0.13607348205,-0.111112752557,0.162785123936,-0.188151248376,5
0.0159613032482,-0.169740077274,0.289024390244,-0.0506031166739,0.00756837798248,0.269367298223,0.199760450989,0.0112570356473,-0.00875054783255,0.0550006927983,0.0118487516236,7
-0.0194369268403,0.0220407446435,0.0090243902439,-0.0574524317424,0.46833632456,0.00176166442054,0.0336827124727,0.00391489174131,-0.158356847045,0.372365962259,-0.172766632992,5
-0.0813838294952,0.042588689849,-0.190975609756,0.127479075107,-0.00244831650833,-0.139083406002,-0.0617236479513,0.0479677551774,0.0542415781517,-0.0946999060041,-0.218920479146,4
-0.0371360418846,-0.142342817,0.239024390244,-0.0506031166739,0.423261199351,0.0158461714628,0.0336827124727,0.0112570356473,-0.213474957281,0.252605483217,-0.188151248376,6
0.0513595333367,-0.210835967685,0.209024390244,-0.0506031166739,-0.0174733582446,0.18486025597,0.0478169880911,0.00391489174131,0.0621155938997,-0.0767358341478,-0.157382017607,6
